Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2017/1/31,28372,NC,Lumberton,Robeson,Pembroke,7470,820,-0.013237064,-0.035294118,-0.057471264,1100
2017/1/31,95338,CA,,Mariposa,Mariposa,7471,1454,0.003450656,0.009722222,0.035612536,5540
2017/1/31,34669,FL,Tampa,Pasco,Hudson,7472,1255,0.004803843,0.019496344,0.014551334,4239
2017/1/31,2771,MA,Providence,Bristol,Seekonk,7473,1794,0.006734007,0.015280136,-0.021810251,5167
2017/1/31,7059,NJ,New York,Somerset,Warren,7474,3459,-0.00717566,-0.034877232,-0.083951271,5541
2017/1/31,28465,NC,Myrtle Beach,Brunswick,Oak Island,7475,1201,-0.009892828,-0.020391517,-0.031451613,8568
2017/1/31,34479,FL,Ocala,Marion,Ocala,7476,902,0.003337041,0.003337041,0.001109878,4640
2017/1/31,55398,MN,Minneapolis-St Paul,Sherburne,Zimmerman,7477,1392,0.002881844,0.005054152,0.005054152,5902
2017/1/31,35217,AL,Birmingham,Jefferson,Tarrant,7478,743,0.002699055,-0.004021448,-0.001344086,5940
2017/1/31,66606,KS,Topeka,Shawnee,Topeka,7479,762,0.01061008,0.024193548,-0.014230272,4310
2017/1/31,30107,GA,Atlanta,Cherokee,Ball Ground,7480,1399,0.001431639,0.002867384,0.03323486,6004
2017/1/31,8882,NJ,New York,Middlesex,South River,7481,2049,-0.002919708,0.011352419,0.03852002,4609
2017/1/31,14210,NY,Buffalo,Erie,Buffalo,7482,795,0.001259446,0.006329114,-0.032846715,4373
2017/1/31,1730,MA,Boston,Middlesex,Bedford,7483,2822,0.009298999,0.019140484,0.020614828,4385
2017/1/31,3106,NH,Concord,Merrimack,Town of Hooksett,7484,1554,0.003875969,0.011060507,-0.017077799,5252
2017/1/31,19096,PA,Philadelphia,Montgomery,Wynnewood,7485,2716,0.001474926,-0.007309942,-0.026174256,4977
2017/1/31,33413,FL,Miami-Fort Lauderdale,Palm Beach,Greenacres,7486,1908,0.001049318,0.01059322,0.063545151,4909
2017/1/31,2382,MA,Boston,Plymouth,Whitman,7487,1880,-0.008438819,-0.0151912,-0.001062699,4488
2017/1/31,60526,IL,Chicago,Cook,La Grange Park,7488,1992,-0.001503759,-0.003501751,0.041296393,4264
2017/1/31,48301,MI,Detroit,Oakland,Bloomfield Hills,7489,2957,0.009559577,0.020358868,0.014060357,5439
2017/1/31,37406,TN,Chattanooga,Hamilton,Chattanooga,7490,887,0.003393665,0.013714286,-0.03900325,4855
2017/1/31,17517,PA,Lancaster,Lancaster,Denver,7491,1088,0.000919963,-0.002749771,0.01682243,4768
2017/1/31,29920,SC,Hilton Head Island,Beaufort,Saint Helena Island,7492,1788,0.002242152,0.005624297,0.011312217,5334
2017/1/31,43326,OH,,Hardin,Kenton,7493,935,-0.016824395,-0.04396728,-0.030082988,4758
2017/1/31,55442,MN,Minneapolis-St Paul,Hennepin,Plymouth,7494,1886,-0.008412198,0.006403415,0.023887079,4587
2017/1/31,32968,FL,Vero Beach,Indian River,Vero Beach,7495,1618,0.010618364,0.02340291,0.07723036,5840
2017/1/31,22044,VA,Washington,Fairfax,Falls Church,7496,2183,0,0.004601933,0.024882629,3626
2017/1/31,87413,NM,Farmington,San Juan,Bloomfield,7497,1017,0.001970443,-0.004892368,-0.060073937,3599
2017/1/31,81416,CO,,Delta,Delta,7498,1186,-0.001683502,0.003384095,0.042179262,3963
2017/1/31,60026,IL,Chicago,Cook,Glenview,7499,3088,0.004881224,0.006190942,0.010801964,4200
2017/1/31,2090,MA,Boston,Norfolk,Westwood,7500,3025,-0.007871433,-0.019766688,-0.03937758,4656
2017/1/31,38572,TN,Crossville,Cumberland,Crossville,7501,1049,-0.004743833,-0.009442871,0.017458778,4515
2017/1/31,10606,NY,New York,Westchester,White Plains,7502,3014,0.006680027,0.023777174,0.016526138,3204
2017/1/31,20650,MD,California-Lexington Park,Saint Marys,Leonardtown,7503,1706,-0.002339181,-0.005247813,-0.042648709,5611
2017/1/31,46107,IN,Indianapolis,Marion,Beech Grove,7504,955,0.002098636,0.02248394,0.081540204,4267
2017/1/31,77703,TX,Beaumont,Jefferson,Beaumont,7505,815,-0.00122549,0.007416564,0.026448363,4755
2017/1/31,12701,NY,,Sullivan,Thompson,7506,1141,0.00617284,0.017841213,-0.030586236,3680
2017/1/31,36527,AL,Daphne,Baldwin,Spanish Fort,7507,1695,0.007130125,0.011336516,-0.005865103,4819
2017/1/31,34984,FL,Port St. Lucie,Saint Lucie,Port Saint Lucie,7508,1402,0.002144389,0.00790798,0.033923304,6477
2017/1/31,23150,VA,Richmond,Henrico,Sandston,7509,1245,-0.002403846,0.007281553,0.027227723,3903
2017/1/31,67337,KS,Coffeyville,Montgomery,Coffeyville,7510,653,0.006163328,-0.001529052,-0.026825633,4960
2017/1/31,35180,AL,Birmingham,Jefferson,Warrior,7511,997,0.003018109,-0.003996004,-0.048664122,5101
2017/1/31,64507,MO,St. Joseph,Buchanan,Saint Joseph,7512,707,0.007122507,0.044313146,-0.103929024,5151
2017/1/31,33403,FL,Miami-Fort Lauderdale,Palm Beach,Lake Park,7513,1555,-0.000642674,0.000643501,0.045729657,4331
2017/1/31,33498,FL,Miami-Fort Lauderdale,Palm Beach,Boca Raton,7514,2774,0.001444043,0.014259598,0.047187618,5912
2017/1/31,95451,CA,Clearlake,Lake,Kelseyville,7515,1407,-0.011243851,-0.017458101,0.039911308,4258
2017/1/31,6084,CT,Hartford,Tolland,Tolland,7516,1754,-0.002842524,-0.029867257,-0.04570185,5260
2017/1/31,74110,OK,Tulsa,Tulsa,Tulsa,7517,721,-0.004143646,0.001388889,0.016925247,6137
2017/1/31,34950,FL,Port St. Lucie,Saint Lucie,Fort Pierce,7518,945,-0.005263158,-0.011506276,0.028291621,5329
2017/1/31,97367,OR,Newport,Lincoln,Lincoln City,7519,1335,0.023773006,0.034082107,0.034883721,5771
2017/1/31,30461,GA,Statesboro,Bulloch,Statesboro,7520,1075,0.008442777,-0.002782931,-0.039320822,4575
2017/1/31,72207,AR,Little Rock,Pulaski,Little Rock,7521,1488,0.004048583,0.005405405,0.005405405,4816
2017/1/31,1527,MA,Worcester,Worcester,Millbury,7522,1660,0.007893139,0.014050092,0.10592938,4581
2017/1/31,98363,WA,Port Angeles,Clallam,Port Angeles,7523,1313,0.009223674,0.02578125,0.042063492,5572
2017/1/31,29033,SC,Columbia,Lexington,Cayce,7524,930,0.003236246,0.006493506,-0.007470651,4475
2017/1/31,10965,NY,New York,Rockland,Orangetown,7525,2621,-0.01687922,-0.035333088,-0.022379709,4655
2017/1/31,67010,KS,Wichita,Butler,Augusta,7526,1002,0.006024096,0.028747433,0.084415584,4115
2017/1/31,34450,FL,Homosassa Springs,Citrus,Inverness,7527,954,0.012738854,0.028017241,0.063545151,4754
2017/1/31,40175,KY,Elizabethtown,Hardin,Vine Grove,7528,1000,0.001001001,0,-0.07063197,4451
2017/1/31,33859,FL,Lakeland,Polk,Lake Wales,7529,1177,0.005982906,0.021701389,0.01816609,2641
2017/1/31,28748,NC,Asheville,Buncombe,Leicester,7530,1311,-0.005311077,-0.026002972,-0.062902073,3154
2017/1/31,28467,NC,Myrtle Beach,Brunswick,Carolina Shores,7531,1189,-0.002516779,0.004222973,0.014505119,6989
2017/1/31,19036,PA,Philadelphia,Delaware,Darby Township,7532,1284,-0.002331002,0.00234192,0.0272,4561
2017/1/31,45402,OH,Dayton,Montgomery,Dayton,7533,677,0.004451039,0.019578313,0.100813008,4261
2017/1/31,6795,CT,Torrington,Litchfield,Watertown,7534,1570,0.003194888,0.029508197,-0.030265596,5060
2017/1/31,99114,WA,Spokane,Stevens,Colville,7535,1180,-0.00084674,-0.006734007,0.047957371,5334
2017/1/31,2673,MA,Cape Cod,Barnstable,Yarmouth,7536,1612,-0.005552128,0.001864512,0.068965517,6441
